"Obsojeni polnoletni in mladoletni po statistiènih regijah, Slovenija, letno"

"STATISTIÈNA REGIJA";"Število obsojenih polnoletnih in mladoletnih oseb 2006";"Število obsojenih polnoletnih in mladoletnih oseb 2007";"Število obsojenih polnoletnih in mladoletnih oseb 2008";"Število obsojenih polnoletnih in mladoletnih oseb 2009";"Število obsojenih polnoletnih in mladoletnih oseb 2010";"Število obsojenih polnoletnih in mladoletnih oseb 2011";"Število obsojenih polnoletnih in mladoletnih oseb 2012";"Število obsojenih polnoletnih in mladoletnih oseb 2013";"Število obsojenih polnoletnih in mladoletnih oseb 2014";"Število obsojenih polnoletnih in mladoletnih oseb 2015";"Število obsojenih polnoletnih in mladoletnih oseb 2016";"Število obsojenih polnoletnih in mladoletnih oseb 2017";"Število obsojenih polnoletnih in mladoletnih oseb 2018";"Število obsojenih polnoletnih in mladoletnih oseb 2019";"Število obsojenih polnoletnih in mladoletnih oseb 2020"
"SLOVENIJA";8630.00;9144.00;9228.00;8453.00;8423.00;7965.00;8825.00;11758.00;9729.00;8241.00;7006.00;6521.00;6324.00;6256.00;5007.00
"Pomurska";642.00;744.00;712.00;592.00;586.00;549.00;617.00;695.00;561.00;492.00;469.00;409.00;437.00;358.00;290.00
"Podravska";1459.00;1560.00;1797.00;1851.00;1670.00;1608.00;1701.00;1998.00;1654.00;1398.00;1251.00;1187.00;1007.00;959.00;799.00
"Koroška";330.00;303.00;319.00;302.00;302.00;287.00;338.00;396.00;239.00;243.00;166.00;156.00;157.00;131.00;105.00
"Savinjska";908.00;933.00;901.00;901.00;1005.00;791.00;872.00;1280.00;1110.00;858.00;756.00;692.00;690.00;556.00;542.00
"Zasavska";138.00;234.00;223.00;208.00;233.00;205.00;184.00;286.00;194.00;130.00;112.00;86.00;106.00;114.00;92.00
"Posavska";348.00;411.00;386.00;259.00;268.00;210.00;305.00;296.00;279.00;265.00;195.00;227.00;207.00;191.00;169.00
"Jugovzhodna Slovenija";692.00;755.00;758.00;767.00;725.00;723.00;809.00;1184.00;1014.00;854.00;771.00;670.00;677.00;623.00;482.00
"Osrednjeslovenska";1810.00;1859.00;1840.00;1488.00;1526.00;1569.00;1547.00;2746.00;2060.00;1810.00;1561.00;1362.00;1296.00;1129.00;941.00
"Gorenjska";704.00;655.00;627.00;468.00;466.00;470.00;601.00;622.00;661.00;506.00;416.00;393.00;398.00;375.00;326.00
"Primorsko-notranjska";180.00;165.00;176.00;150.00;161.00;162.00;146.00;192.00;167.00;161.00;102.00;85.00;111.00;134.00;79.00
"Goriška";291.00;299.00;241.00;220.00;246.00;256.00;269.00;295.00;261.00;233.00;221.00;218.00;205.00;166.00;147.00
"Obalno-kraška";592.00;467.00;458.00;436.00;411.00;361.00;498.00;623.00;542.00;436.00;362.00;304.00;344.00;246.00;210.00
"Tujina";536.00;759.00;790.00;811.00;824.00;774.00;938.00;1132.00;987.00;855.00;624.00;732.00;689.00;1274.00;825.00
